review_status,visibility,product_model,product_name,category,file_type,file_name,source_url,pdf_links,image_links,manual_links,description,remarks,visibility_reason,needs_manual_review,suggested_action,human_correct_product_model,human_correct_product_name,human_correct_category,human_visibility_decision,human_notes
,hidden,S3010B,Radial Insertion Machine,smt_audio,audio,S3010B Radial Insertion Machine.mp3,https://file.autoinsertion.com/public/SMT%20Audio/S3010B%20Radial%20Insertion%20Machine.mp3,,,https://file.autoinsertion.com/public/SMT%20Audio/S3010B%20Radial%20Insertion%20Machine.mp3,To be confirmed from official document,Sample collected from public directory /SMT Audio.,hidden: VIS-002 [priority=10] (Audio assets should be kept in data but hidden from the customer-facing asset center by default),yes,Check whether this asset should remain hidden,,,,,
,hidden,S-4000,Axial Insertion machine SMThelp,smt_audio,audio,S4000 Axial Insertion machine -SMThelp.wav,https://file.autoinsertion.com/public/SMT%20Audio/S4000%20Axial%20Insertion%20machine%20-SMThelp.wav,,,https://file.autoinsertion.com/public/SMT%20Audio/S4000%20Axial%20Insertion%20machine%20-SMThelp.wav; https://file.autoinsertion.com/public/SMT%20Audio/S4000%20Axial%20Insertion%20machine%205min.wav; https://file.autoinsertion.com/public/SMT%20Audio/S4000%20Axial%20Insertion%20machine.wav,To be confirmed from official document,Sample collected from public directory /SMT Audio. | Grouped 3 sample files under the same product_model + category | Mapping applied: filename_contains=S4000 | Standardized model format,hidden: VIS-002 [priority=10] (Audio assets should be kept in data but hidden from the customer-facing asset center by default),yes,Check whether this asset should remain hidden,,,,,
,hidden,S660S,Full Automatic online PCB Separator with Pallet Storage machine,smt_audio,audio,S660S Full Automatic online PCB Separator with Pallet Storage machine.wav,https://file.autoinsertion.com/public/SMT%20Audio/S660S%20Full%20Automatic%20online%20PCB%20Separator%20with%20Pallet%20Storage%20machine.wav,,,https://file.autoinsertion.com/public/SMT%20Audio/S660S%20Full%20Automatic%20online%20PCB%20Separator%20with%20Pallet%20Storage%20machine.wav,To be confirmed from official document,Sample collected from public directory /SMT Audio.,hidden: VIS-002 [priority=10] (Audio assets should be kept in data but hidden from the customer-facing asset center by default),yes,Check whether this asset should remain hidden,,,,,
,hidden,S7000,Odd Form Insertion Machine,smt_audio,audio,S7000 Odd Form Insertion Machine.wav,https://file.autoinsertion.com/public/SMT%20Audio/S7000%20Odd%20Form%20Insertion%20Machine.wav,,,https://file.autoinsertion.com/public/SMT%20Audio/S7000%20Odd%20Form%20Insertion%20Machine.wav,To be confirmed from official document,Sample collected from public directory /SMT Audio.,hidden: VIS-002 [priority=10] (Audio assets should be kept in data but hidden from the customer-facing asset center by default),yes,Check whether this asset should remain hidden,,,,,
,internal_review,SQX350,High Precision Low Stress PCB Depaneling Router,smt_audio,audio,High-Precision Low-Stress PCB Depaneling Southern Machinery SQX350 PCB Rou.wav,https://file.autoinsertion.com/public/SMT%20Audio/High-Precision%20Low-Stress%20PCB%20Depaneling%20Southern%20Machinery%20SQX350%20PCB%20Rou.wav,,,https://file.autoinsertion.com/public/SMT%20Audio/High-Precision%20Low-Stress%20PCB%20Depaneling%20Southern%20Machinery%20SQX350%20PCB%20Rou.wav,To be confirmed from official document,Sample collected from public directory /SMT Audio. | Mapping applied: exact_file_name=High-Precision Low-Stress PCB Depaneling Southern Machinery SQX350 PCB Rou.wav | Standardized product name; Name cleaned from truncated filename; needs sales review,internal_review: VIS-009 [priority=100] (SQX350 record title appears truncated and requires manual confirmation before customer-facing use),yes,Review before customer-facing use,,,,,
,internal_review,ALD700,SMT AOI 3D,smt_machine_3d_drawing,pdf,SMT AOI ALD700 3D.PDF,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/SMT%20AOI%20ALD700%203D.PDF,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/SMT%20AOI%20ALD700%203D.PDF,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing.,internal_review: VIS-003 [priority=20] (3D drawing or proposal files require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,BG03,Southern,smt_machine_3d_drawing,pdf,Southern BG03.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/Southern%20BG03.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/Southern%20BG03.pdf,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing. | Mapping applied: exact_file_name=Southern BG03.pdf | Product name too short; needs manual confirmation,internal_review: VIS-008 [priority=100] (BG03 record name is too short and should remain under internal review until confirmed),yes,Review before customer-facing use,,,,,
,internal_review,CN2617-03,SMT JUKI Vacuum nozzle 3D,smt_machine_3d_drawing,pdf,SMT JUKI Vacuum nozzle CN2617-03 3D.PDF,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/SMT%20JUKI%20Vacuum%20nozzle%20CN2617-03%203D.PDF,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/SMT%20JUKI%20Vacuum%20nozzle%20CN2617-03%203D.PDF,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing.,internal_review: VIS-003 [priority=20] (3D drawing or proposal files require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,S3010A,+S3020A Radial Insertion machine inline,smt_machine_3d_drawing,pdf,S3010A +S3020A Radial Insertion machine inline.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/S3010A%20%2BS3020A%20Radial%20Insertion%20machine%20inline.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/S3010A%20%2BS3020A%20Radial%20Insertion%20machine%20inline.pdf; https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/S3010A%20Radial%20insertion%20head%203D.PDF,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-003 [priority=20] (3D drawing or proposal files require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,S-350C,SMThelp 1M Conveyor 3D,smt_machine_3d_drawing,pdf,S350C SMThelp 1M Conveyor 3D.PDF,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/S350C%20SMThelp%201M%20Conveyor%203D.PDF,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/S350C%20SMThelp%201M%20Conveyor%203D.PDF,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing. | Mapping applied: filename_contains=S350C | Standardized model format,internal_review: VIS-003 [priority=20] (3D drawing or proposal files require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,S7000,Oddform Radial Axial & Tube feeder,smt_machine_3d_drawing,pdf,S7000 Oddform Radial Axial & Tube feeder.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/S7000%20Oddform%20Radial%20Axial%20%26%20Tube%20feeder.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/S7000%20Oddform%20Radial%20Axial%20%26%20Tube%20feeder.pdf,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing.,internal_review: VIS-003 [priority=20] (3D drawing or proposal files require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,SH460D,High end Conveyor 1M nolight 3D,smt_machine_3d_drawing,pdf,SH460D High end Conveyor 1M nolight 3D.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/SH460D%20High%20end%20Conveyor%201M%20nolight%203D.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/SH460D%20High%20end%20Conveyor%201M%20nolight%203D.pdf; https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/SH460D%20High%20end%20Conveyor%201M%20nolight.pdf,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-003 [priority=20] (3D drawing or proposal files require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,SM-UV106CM,UV1.6M Curing Oven 3D,smt_machine_3d_drawing,pdf,SM-UV106CM  UV1.6M Curing Oven 3D.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/SM-UV106CM%20%20UV1.6M%20Curing%20Oven%203D.pdf,https://file.autoinsertion.com/public/SMT%20machine%203D%20drawing/SM-UV106CM%20%20UV1.6M%20Curing%20Oven%203D.pdf,,,To be confirmed from official document,Sample collected from public directory /SMT machine 3D drawing. | Mapping applied: exact_file_name=SM-UV106CM  UV1.6M Curing Oven 3D.pdf | High-confidence cleanup from exact file name,internal_review: VIS-003 [priority=20] (3D drawing or proposal files require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,S-460FL,Conveyor machine,smt_machine_3d_drawing_in_html,document,S-460FL Conveyor machine.html,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S-460FL%20Conveyor%20machine.html,,,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S-460FL%20Conveyor%20machine.html,To be confirmed from official document,Sample collected from public directory /SMT machine 3D Drawing in Html.,internal_review: VIS-004 [priority=20] (3D HTML demo pages require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,S-7020T,Terminal insertion,smt_machine_3d_drawing_in_html,document,S-7020T_Terminal_insertion.html,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S-7020T_Terminal_insertion.html,,,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S-7020T_Terminal_insertion.html,To be confirmed from official document,Sample collected from public directory /SMT machine 3D Drawing in Html.,internal_review: VIS-004 [priority=20] (3D HTML demo pages require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,S-JVF02,stick feeder JUKI RS 1,smt_machine_3d_drawing_in_html,document,S-JVF02 stick feeder JUKI RS-1.html,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S-JVF02%20stick%20feeder%20JUKI%20RS-1.html,,,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S-JVF02%20stick%20feeder%20JUKI%20RS-1.html; https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S-JVF02%20Stick%20Vibration%20Feeder.html,To be confirmed from official document,Sample collected from public directory /SMT machine 3D Drawing in Html. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-004 [priority=20] (3D HTML demo pages require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,S-MVF01,Bulk Feeder,smt_machine_3d_drawing_in_html,document,Bulk Feeder S-MVF01.html,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/Bulk%20Feeder%20S-MVF01.html,,,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/Bulk%20Feeder%20S-MVF01.html; https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S-MVF01%20Revolutionary%20Bulk%20Feeder.html,To be confirmed from official document,Sample collected from public directory /SMT machine 3D Drawing in Html. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-004 [priority=20] (3D HTML demo pages require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,S-3000,Radial + S7900 Odd Form Insertion Machine w PCB Loading & magazine,smt_machine_3d_drawing_in_html,document,S3000 Radial + S7900 Odd Form Insertion Machine w PCB Loading & magazine.html,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S3000%20Radial%20%2B%20S7900%20Odd%20Form%20Insertion%20Machine%20w%20PCB%20Loading%20%26%20magazine.html,,,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S3000%20Radial%20%2B%20S7900%20Odd%20Form%20Insertion%20Machine%20w%20PCB%20Loading%20%26%20magazine.html,To be confirmed from official document,Sample collected from public directory /SMT machine 3D Drawing in Html. | Mapping applied: filename_contains=S3000 | Standardized model format,internal_review: VIS-004 [priority=20] (3D HTML demo pages require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,internal_review,S3010A,Radial + S7020T Bowl Terminal Insertion Machine with PCB Magazine loader inloader,smt_machine_3d_drawing_in_html,document,S3010A Radial + S7020T Bowl Terminal Insertion Machine with PCB Magazine loader inloader.html,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S3010A%20Radial%20%2B%20S7020T%20Bowl%20Terminal%20Insertion%20Machine%20with%20PCB%20Magazine%20loader%20inloader.html,,,https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S3010A%20Radial%20%2B%20S7020T%20Bowl%20Terminal%20Insertion%20Machine%20with%20PCB%20Magazine%20loader%20inloader.html; https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S3010A%20Radial%20Insertion%20%2B%20S7020A%20Odd%20Form%20Insertion%20Machine%20with%20PCB%20Magazine%20loader%20inloader.html; https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S3010A%20Radial%20Insertion%20machine%20inline%20PCB%20board%20handling%20System.html; https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S3010A%20Radial%20Insertion%20Machine%20w%20PCB%20loader%20inloader%201.html; https://file.autoinsertion.com/public/SMT%20machine%203D%20Drawing%20in%20Html/S3010A%20Radial%20Insertion%20Machine%20w%20PCB%20loader%20inloader.html,To be confirmed from official document,Sample collected from public directory /SMT machine 3D Drawing in Html. | Grouped 5 sample files under the same product_model + category,internal_review: VIS-004 [priority=20] (3D HTML demo pages require internal review before customer-facing publication),yes,Review before customer-facing use,,,,,
,public,S-6600,Lead Free Reflow Oven,smthelp_machine_presentation,pdf,S-6600 Lead-Free Reflow Oven.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/S-6600%20Lead-Free%20Reflow%20Oven.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/S-6600%20Lead-Free%20Reflow%20Oven.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation.,Default visibility: public,no,Verify and approve,,,,,
,public,S-MVF01,Belt feeder,smthelp_machine_presentation,pdf,S-MVF01 Belt feeder.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/S-MVF01%20Belt%20feeder.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/S-MVF01%20Belt%20feeder.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation.,Default visibility: public,no,Verify and approve,,,,,
,public,S7900,Precision odd form insertion machine,smthelp_machine_presentation,pdf,Precision_S7900 odd form insertion machine.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/Precision_S7900%20odd%20form%20insertion%20machine.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/Precision_S7900%20odd%20form%20insertion%20machine.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation.,Default visibility: public,no,Verify and approve,,,,,
,internal_review,SAF1001,AXIAL TAPE FEEDER TEACH DOCUMENTS,smthelp_machine_presentation,pdf,SAF1001 AXIAL TAPE FEEDER TEACH DOCUMENTS.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SAF1001%20AXIAL%20TAPE%20FEEDER%20TEACH%20DOCUMENTS.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SAF1001%20AXIAL%20TAPE%20FEEDER%20TEACH%20DOCUMENTS.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SAF1001%20AXIAL%20TAPE%20FEEDER.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-006 [priority=30] (Teach documents may be internal support material and should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,public,SFY03,Effortless Flexibility for SMT Lines with AGV,smthelp_machine_presentation,pdf,Effortless Flexibility for SMT Lines with SFY03 AGV.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/Effortless%20Flexibility%20for%20SMT%20Lines%20with%20SFY03%20AGV.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/Effortless%20Flexibility%20for%20SMT%20Lines%20with%20SFY03%20AGV.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SFY03%20AGV%20Effortless%20Flexibility%20for%20EMS%20SMT%20Lines.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SFY03_Magnetic_AGV_Technical_Handbook.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SFY03_Route_Programming_Masterclass.pdf.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation. | Grouped 4 sample files under the same product_model + category,Default visibility: public,no,Verify and approve,,,,,
,internal_review,SME-5200,Pallet (Fixture) Cleaning Machine Performance Validation Report,smthelp_machine_presentation,pdf,SME-5200 Pallet (Fixture) Cleaning Machine_Performance_Validation_Report.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SME-5200%20Pallet%20(Fixture)%20Cleaning%20Machine_Performance_Validation_Report.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SME-5200%20Pallet%20(Fixture)%20Cleaning%20Machine_Performance_Validation_Report.pdf; https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SME-5200_Pallet%20%EF%BC%88Fixture%EF%BC%89%20Cleaning%20Machine%20Installation_Protocol.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-007 [priority=30] (Validation reports are supporting documents and should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,public,SM-UV106CM,Automatic UV Curing,smthelp_machine_presentation,pdf,SM-UV106CM_Automatic_UV_Curing.pdf.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SM-UV106CM_Automatic_UV_Curing.pdf.pdf,https://file.autoinsertion.com/public/SMThelp%20Machine%20Presentation/SM-UV106CM_Automatic_UV_Curing.pdf.pdf,,,To be confirmed from official document,Sample collected from public directory /SMThelp Machine Presentation. | Mapping applied: exact_file_name=SM-UV106CM_Automatic_UV_Curing.pdf.pdf | High-confidence cleanup from exact file name,Default visibility: public,no,Verify and approve,,,,,
,internal_review,S-350C,S-350C,smthelp_poster,image,S-350C.png,https://file.autoinsertion.com/public/SMThelp%20Poster/S-350C.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/S-350C.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster.,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,internal_review,S-JVF02,Quick Setup Guide,smthelp_poster,image,S-JVF02_Quick_Setup_Guide.png,https://file.autoinsertion.com/public/SMThelp%20Poster/S-JVF02_Quick_Setup_Guide.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/S-JVF02_Quick_Setup_Guide.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster.,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,internal_review,S-MVF01,Reciprocating Belt Feeder 1,smthelp_poster,image,S-MVF01 Reciprocating Belt Feeder 1.png,https://file.autoinsertion.com/public/SMThelp%20Poster/S-MVF01%20Reciprocating%20Belt%20Feeder%201.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/S-MVF01%20Reciprocating%20Belt%20Feeder%201.png; https://file.autoinsertion.com/public/SMThelp%20Poster/S-MVF01%20Reciprocating%20Belt%20Feeder%202.png; https://file.autoinsertion.com/public/SMThelp%20Poster/S-MVF01%20Reciprocating%20Belt%20Feeder%203.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster. | Grouped 3 sample files under the same product_model + category,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
,internal_review,S7900,odd form inserter,smthelp_poster,image,S7900 odd form inserter.png,https://file.autoinsertion.com/public/SMThelp%20Poster/S7900%20odd%20form%20inserter.png,,https://file.autoinsertion.com/public/SMThelp%20Poster/S7900%20odd%20form%20inserter.png; https://file.autoinsertion.com/public/SMThelp%20Poster/S7900%20odd%20form%20insertion%20machine.png,,To be confirmed from official document,Sample collected from public directory /SMThelp Poster. | Grouped 2 sample files under the same product_model + category,internal_review: VIS-005 [priority=20] (Poster or marketing image assets should be reviewed before customer-facing display),yes,Review before customer-facing use,,,,,
